
2025/10/22 (01:25:43) | ===> btop++ v.1.3.0
2025/10/22 (01:25:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/10/22 (01:25:43) | ERROR: Invalid size of hex value: 39d7efff
2025/10/22 (01:25:43) | ERROR: Invalid size of hex value: 72fdddff
2025/10/22 (01:25:43) | ERROR: Invalid size of hex value: 20b597ff

2025/10/22 (01:42:43) | ===> btop++ v.1.3.0
2025/10/22 (01:42:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/10/22 (01:42:43) | ERROR: Invalid size of hex value: 39d7efff
2025/10/22 (01:42:43) | ERROR: Invalid size of hex value: 72fdddff
2025/10/22 (01:42:43) | ERROR: Invalid size of hex value: 20b597ff

2025/10/22 (02:24:24) | ===> btop++ v.1.3.0
2025/10/22 (02:24:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/10/22 (02:24:24) | ERROR: Invalid size of hex value: 39d7efff
2025/10/22 (02:24:24) | ERROR: Invalid size of hex value: 72fdddff
2025/10/22 (02:24:24) | ERROR: Invalid size of hex value: 20b597ff

2025/10/22 (09:25:39) | ===> btop++ v.1.3.0
2025/10/22 (09:25:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/10/22 (09:25:39) | ERROR: Invalid size of hex value: 39d7efff
2025/10/22 (09:25:39) | ERROR: Invalid size of hex value: 72fdddff
2025/10/22 (09:25:39) | ERROR: Invalid size of hex value: 20b597ff

2025/10/23 (09:22:18) | ===> btop++ v.1.3.0
2025/10/23 (09:22:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/10/23 (09:22:18) | ERROR: Invalid size of hex value: 39d7efff
2025/10/23 (09:22:18) | ERROR: Invalid size of hex value: 72fdddff
2025/10/23 (09:22:18) | ERROR: Invalid size of hex value: 20b597ff

2025/10/23 (10:36:45) | ===> btop++ v.1.3.0
2025/10/23 (10:36:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/10/23 (10:36:45) | ERROR: Invalid size of hex value: 39d7efff
2025/10/23 (10:36:45) | ERROR: Invalid size of hex value: 72fdddff
2025/10/23 (10:36:45) | ERROR: Invalid size of hex value: 20b597ff

2025/10/24 (10:44:10) | ===> btop++ v.1.3.0
2025/10/24 (10:44:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/10/24 (10:44:10) | ERROR: Invalid size of hex value: 39d7efff
2025/10/24 (10:44:10) | ERROR: Invalid size of hex value: 72fdddff
2025/10/24 (10:44:10) | ERROR: Invalid size of hex value: 20b597ff

2025/10/25 (10:43:24) | ===> btop++ v.1.3.0
2025/10/25 (10:43:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/10/25 (10:43:24) | ERROR: Invalid size of hex value: 39d7efff
2025/10/25 (10:43:24) | ERROR: Invalid size of hex value: 72fdddff
2025/10/25 (10:43:24) | ERROR: Invalid size of hex value: 20b597ff

2025/10/27 (21:04:37) | ===> btop++ v.1.3.0
2025/10/27 (21:04:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/10/27 (21:04:37) | ERROR: Invalid size of hex value: 39d7efff
2025/10/27 (21:04:37) | ERROR: Invalid size of hex value: 72fdddff
2025/10/27 (21:04:37) | ERROR: Invalid size of hex value: 20b597ff

2025/10/27 (21:04:44) | ===> btop++ v.1.3.0
2025/10/27 (21:04:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/10/27 (21:04:44) | ERROR: Invalid size of hex value: 39d7efff
2025/10/27 (21:04:44) | ERROR: Invalid size of hex value: 72fdddff
2025/10/27 (21:04:44) | ERROR: Invalid size of hex value: 20b597ff

2025/11/05 (18:31:16) | ===> btop++ v.1.3.0
2025/11/05 (18:31:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/11/05 (18:31:17) | ERROR: Invalid size of hex value: 39d7efff
2025/11/05 (18:31:17) | ERROR: Invalid size of hex value: 72fdddff
2025/11/05 (18:31:17) | ERROR: Invalid size of hex value: 20b597ff

2025/11/06 (10:31:00) | ===> btop++ v.1.3.0
2025/11/06 (10:31:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/11/06 (10:31:00) | ERROR: Invalid size of hex value: 39d7efff
2025/11/06 (10:31:00) | ERROR: Invalid size of hex value: 72fdddff
2025/11/06 (10:31:00) | ERROR: Invalid size of hex value: 20b597ff
